City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Weligama,LK,2019-12-29 05:49:33,5.97,80.42,86.59,57,10,5.17
70,Leningradskiy,RU,2019-12-29 05:49:33,69.38,178.42,-9.15,88,53,7.67
71,Gat,SN,2019-12-29 05:49:33,14.69,-16.54,75.2,16,0,10.29
72,Hilo,US,2019-12-29 05:49:33,19.71,-155.08,75.2,83,1,3.36
73,Chernyshevskiy,RU,2019-12-29 05:49:34,63.01,112.47,-26.88,94,100,9.44
74,Yamada,JP,2019-12-29 05:49:34,36.58,137.08,54.0,43,75,1.12
75,Pleasant Point,CA,2019-12-29 05:49:34,44.45,-78.7,35.01,100,90,3.36
76,Libourne,FR,2019-12-29 05:49:34,44.91,-0.24,36.0,91,90,3.56
77,Port Hedland,AU,2019-12-29 05:49:34,-20.31,118.58,96.8,56,99,20.8
78,Provideniya,RU,2019-12-29 05:45:41,64.42,-173.23,-7.28,83,0,10.56
79,Saskylakh,RU,2019-12-29 05:45:37,71.97,114.09,-31.09,96,0,9.46
80,Bandarban,BD,2019-12-29 05:49:35,22.2,92.22,64.4,82,90,4.94
81,Cherskiy,RU,2019-12-29 05:49:35,68.75,161.3,-15.68,98,98,5.73
82,Iqaluit,CA,2019-12-29 05:49:36,63.75,-68.52,-11.0,69,5,21.92
83,Mawlaik,MM,2019-12-29 05:49:36,23.63,94.42,73.67,42,6,3.58
84,La Rioja,AR,2019-12-29 05:49:39,-29.41,-66.86,70.14,65,100,3.06
85,Mau,IN,2019-12-29 05:49:39,25.94,83.57,61.9,32,0,5.77
86,Yellowknife,CA,2019-12-29 05:46:06,62.45,-114.38,-2.0,77,90,10.29
87,Mizdah,LY,2019-12-29 05:49:40,31.45,12.98,45.3,66,43,13.8
88,Atuona,PF,2019-12-29 05:45:24,-9.8,-139.03,81.25,77,40,16.71
89,Havelock,US,2019-12-29 05:49:40,34.88,-76.9,59.0,93,20,2.75
90,Manjacaze,MZ,2019-12-29 05:49:40,-24.71,33.88,80.37,61,42,6.13
91,Saldanha,PT,2019-12-29 05:45:53,41.42,-6.55,40.19,49,0,2.82
92,Port Lincoln,AU,2019-12-29 05:46:07,-34.72,135.86,80.87,38,0,8.55
93,Narsaq,GL,2019-12-29 05:49:41,60.91,-46.05,28.4,86,100,0.67
94,Esperance,AU,2019-12-29 05:45:50,-33.86,121.89,86.0,40,0,17.22
95,Nome,US,2019-12-29 05:49:41,30.04,-94.42,71.6,94,1,8.05
96,Dingle,PH,2019-12-29 05:45:58,11.0,122.67,81.97,71,0,12.03
97,Victor Harbor,AU,2019-12-29 05:49:42,-35.55,138.62,95.0,39,20,10.29
98,Jardim,BR,2019-12-29 05:49:42,-21.48,-56.15,75.56,75,1,3.96
99,Ronne,FR,2019-12-29 05:49:42,48.45,0.83,33.01,84,88,4.7
100,Albany,US,2019-12-29 05:46:25,42.65,-73.75,34.0,80,75,4.38
101,San Miguel,AR,2019-12-29 05:49:43,-34.54,-58.72,77.0,83,85,5.23
102,Ingham,AU,2019-12-29 05:49:43,-18.65,146.16,82.76,64,55,6.46
103,Lebu,ET,2019-12-29 05:49:43,8.96,38.73,57.6,77,85,3.96
104,Flinders,AU,2019-12-29 05:49:43,-34.58,150.85,84.99,65,75,6.93
105,Nikolskoye,RU,2019-12-29 05:49:43,59.7,30.79,21.99,85,75,2.24
106,Pangnirtung,CA,2019-12-29 05:49:44,66.15,-65.72,-9.22,81,33,3.87
107,Porto Novo,BR,2019-12-29 05:49:44,-23.68,-45.44,69.8,83,40,4.7
108,Port Alfred,ZA,2019-12-29 05:49:44,-33.59,26.89,68.0,92,97,1.99
109,Bredasdorp,ZA,2019-12-29 05:45:38,-34.53,20.04,66.2,77,100,13.87
110,Carnarvon,ZA,2019-12-29 05:49:44,-30.97,22.13,75.69,29,100,14.61
111,Plouzane,FR,2019-12-29 05:49:45,48.38,-4.62,42.8,100,90,10.29
112,Sinnamary,GF,2019-12-29 05:49:45,5.38,-52.96,79.41,76,60,16.71
113,Ribeira Grande,PT,2019-12-29 05:49:45,38.52,-28.7,55.22,73,78,10.11
114,Iseyin,NG,2019-12-29 05:49:45,7.97,3.6,70.97,16,0,6.73
115,Kruisfontein,ZA,2019-12-29 05:49:46,-34.0,24.73,66.63,75,83,4.9
