City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Fez,MA,64.4,scattered clouds,34.03,-5.02,Hôtel Mounia Fès
356,Kuito,AO,64.47,light rain,-12.38,16.94,HOSPEDARIA DANY E FILHOS
357,Dandong,CN,27.18,light snow,40.12,124.37,Yiranju Farmstay
359,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
360,Ilhabela,BR,77.29,overcast clouds,-23.78,-45.36,Ilha Flat Hotel
361,Labuhan,ID,74.97,overcast clouds,-2.54,115.51,Pondok Indah Gula Habang
362,Guerrero Negro,MX,60.69,clear sky,27.97,-114.04,The Halfway Inn
363,Juneau,US,39.2,light rain,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
364,Kitgum,UG,77.86,few clouds,3.3,32.88,Jaflo Gardens Hotel
365,Virginia Beach,US,62.6,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
366,Tocopilla,CL,77.74,clear sky,-22.09,-70.2,Hotel Galvarino
367,Broome,GB,46.4,broken clouds,52.47,1.45,Angel House B & B
368,Merauke,ID,77.58,overcast clouds,-8.49,140.4,Swiss-Belhotel Merauke
369,Mogok,MM,52.47,clear sky,22.92,96.51,MOGOK HILL HOTEL
370,Tazovskiy,RU,12.11,light snow,67.47,78.7,TazHostel
371,Vila Velha,BR,87.8,scattered clouds,-3.71,-38.6,Hotel Iparana Paradise
372,Najran,SA,68.0,clear sky,17.54,44.22,فندق حياة نجران
373,Luanda,AO,84.2,few clouds,-8.83,13.24,EPIC SANA Luanda
374,Camacha,PT,71.6,broken clouds,33.08,-16.33,Hotel Porto Santo & Spa
375,Rodrigues Alves,BR,77.0,light rain,-7.74,-72.65,Hotel José Pereira
376,Temiscaming,CA,30.0,overcast clouds,46.72,-79.1,Auberge Canadienne
377,Adrar,DZ,69.8,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
378,Mount Gambier,AU,69.8,few clouds,-37.83,140.78,Best Western Southgate Motel
379,Annau,TM,53.6,overcast clouds,37.89,58.52,Buzmein Sokak
380,Bushehr,IR,68.0,clear sky,28.97,50.84,Yas Hotel
381,Koumac,NC,71.91,light rain,-20.56,164.28,Le Monitel
382,Sydney,AU,69.01,overcast clouds,-33.85,151.22,"Pier One Sydney Harbour, Autograph Collection"
383,Atar,MR,86.0,sand,20.52,-13.05,Oumou Elghoura
